Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
fungal_infection,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,skin_rash,,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,skin_rash,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,itching,skin_rash,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,skin_rash,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,dischromic_patches,itching,,,,,,,,,,,,,
